,AvgL,AvgW,B365L,B365W,Best of,CBL,CBW,Comment,Court,Date,EXL,EXW,L1,L2,L3,LBL,LBW,LPts,LRank,Location,Loser,Lsets,MaxL,MaxW,PSL,PSW,Round,SJL,SJW,Surface,Tier,Tournament,UBL,UBW,W1,W2,W3,WPts,WRank,WTA,Winner,Wsets
231,,,4.5,1.16,3,3.8,1.24,Completed,Outdoor,2007-01-21,4.25,1.2,4.0,4.0,,,,378.25,67.0,Melbourne,Kostanic J.,0.0,,,4.8,1.238,3rd Round,,,Hard,Grand Slam,Australian Open,4.35,1.2,6.0,6.0,,1258.0,13.0,5,Chakvetadze A.,2.0
232,,,1.06,8.0,3,1.07,8.0,Completed,Outdoor,2007-01-21,1.06,7.79,4.0,3.0,,,,3460.0,3.0,Melbourne,Mauresmo A.,0.0,,,1.072,11.86,4th Round,,,Hard,Grand Slam,Australian Open,1.08,7.4,6.0,6.0,,370.0,70.0,5,Safarova L.,2.0
233,,,1.36,3.0,3,1.33,3.15,Completed,Outdoor,2007-01-21,1.33,3.15,4.0,2.0,,,,2510.0,4.0,Melbourne,Kuznetsova S.,0.0,,,1.398,3.31,4th Round,,,Hard,Grand Slam,Australian Open,1.38,2.95,6.0,6.0,,961.0,17.0,5,Peer S.,2.0
234,,,2.25,1.57,3,2.25,1.6,Completed,Outdoor,2007-01-21,2.12,1.67,3.0,3.0,,,,1875.0,8.0,Melbourne,Dementieva E.,0.0,,,2.58,1.595,4th Round,,,Hard,Grand Slam,Australian Open,2.14,1.68,6.0,6.0,,1428.0,12.0,5,Vaidisova N.,2.0
235,,,1.39,2.75,3,1.43,2.7,Completed,Outdoor,2007-01-21,1.45,2.65,3.0,2.0,,,,1456.0,11.0,Melbourne,Jankovic J.,0.0,,,1.467,2.94,4th Round,,,Hard,Grand Slam,Australian Open,1.38,2.94,6.0,6.0,,331.0,81.0,5,Williams S.,2.0
236,,,2.37,1.53,3,14.0,1.01,Completed,Outdoor,2007-01-22,2.5,1.5,6.0,3.0,0.0,,,968.0,16.0,Melbourne,Li N.,1.0,,,2.63,1.578,4th Round,,,Hard,Grand Slam,Australian Open,2.35,1.57,4.0,6.0,6.0,2063.0,7.0,5,Hingis M.,2.0
237,,,11,1.03,3,13.0,1.02,Completed,Outdoor,2007-01-22,11.0,1.03,1.0,5.0,,,,944.0,18.0,Melbourne,Hantuchova D.,0.0,,,16.0,1.05,4th Round,,,Hard,Grand Slam,Australian Open,11.0,1.04,6.0,7.0,,2441.0,5.0,5,Clijsters K.,2.0
238,,,1.9,1.8,3,2.0,1.75,Completed,Outdoor,2007-01-22,2.0,1.75,4.0,1.0,,,,1578.0,9.0,Melbourne,Schnyder P.,0.0,,,2.18,1.781,4th Round,,,Hard,Grand Slam,Australian Open,1.96,1.8,6.0,6.0,,1258.0,13.0,5,Chakvetadze A.,2.0
239,,,5,1.14,3,15.0,1.01,Completed,Outdoor,2007-01-22,5.0,1.15,5.0,4.0,,,,794.0,24.0,Melbourne,Zvonareva V.,0.0,,,5.25,1.215,4th Round,,,Hard,Grand Slam,Australian Open,4.4,1.2,7.0,6.0,,3532.0,2.0,5,Sharapova M.,2.0
240,,,3.25,1.33,3,4.5,1.2,Completed,Outdoor,2007-01-23,3.05,1.35,1.0,4.0,,,,370.0,70.0,Melbourne,Safarova L.,0.0,,,3.57,1.361,Quarterfinals,,,Hard,Grand Slam,Australian Open,3.4,1.3,6.0,6.0,,1428.0,12.0,5,Vaidisova N.,2.0
241,,,2.75,1.39,3,3.5,1.3,Completed,Outdoor,2007-01-23,2.8,1.4,6.0,2.0,6.0,,,961.0,17.0,Melbourne,Peer S.,1.0,,,3.02,1.45,Quarterfinals,,,Hard,Grand Slam,Australian Open,2.88,1.4,3.0,6.0,8.0,331.0,81.0,5,Williams S.,2.0
242,,,5,1.14,3,9.0,1.04,Completed,Outdoor,2007-01-24,5.0,1.15,6.0,5.0,,,,1258.0,13.0,Melbourne,Chakvetadze A.,0.0,,,5.54,1.198,Quarterfinals,,,Hard,Grand Slam,Australian Open,5.0,1.16,7.0,7.0,,3532.0,2.0,5,Sharapova M.,2.0
243,,,4.5,1.16,3,2.35,1.6,Completed,Outdoor,2007-01-24,4.65,1.17,6.0,4.0,3.0,,,2063.0,7.0,Melbourne,Hingis M.,1.0,,,5.05,1.225,Quarterfinals,,,Hard,Grand Slam,Australian Open,4.4,1.2,3.0,6.0,6.0,2441.0,5.0,5,Clijsters K.,2.0
244,,,1.8,2.0,3,1.75,2.0,Completed,Outdoor,2007-01-25,1.8,1.95,6.0,4.0,,,,1428.0,12.0,Melbourne,Vaidisova N.,0.0,,,1.82,2.12,Semifinals,,,Hard,Grand Slam,Australian Open,1.86,1.92,7.0,6.0,,331.0,81.0,5,Williams S.,2.0
245,,,1.9,1.9,3,1.75,2.0,Completed,Outdoor,2007-01-25,1.83,1.91,4.0,2.0,,,,2441.0,5.0,Melbourne,Clijsters K.,0.0,,,1.885,1.98,Semifinals,,,Hard,Grand Slam,Australian Open,1.85,1.9,6.0,6.0,,3532.0,2.0,5,Sharapova M.,2.0
246,,,1.39,2.87,3,1.4,2.85,Completed,Outdoor,2007-01-27,1.38,2.9,1.0,2.0,,,,3532.0,2.0,Melbourne,Sharapova M.,0.0,,,1.446,3.04,The Final,,,Hard,Grand Slam,Australian Open,1.43,2.75,6.0,6.0,,331.0,81.0,5,Williams S.,2.0
247,,,5,1.14,3,5.0,1.15,Completed,Indoor,2007-01-30,5.0,1.15,4.0,2.0,,,,449.0,49.0,Tokyo,Perry S.,0.0,,,5.55,1.198,1st Round,,,Carpet,Tier 1,Toray Pan Pacific Open,4.6,1.18,6.0,6.0,,1160.0,16.0,6,Ivanovic A.,2.0
248,,,2,1.72,3,2.05,1.72,Completed,Indoor,2007-01-30,2.12,1.67,7.0,1.0,4.0,,,531.0,40.0,Tokyo,Shaughnessy M.,1.0,,,2.22,1.758,1st Round,,,Carpet,Tier 1,Toray Pan Pacific Open,,,6.0,6.0,6.0,397.75,65.0,6,Pratt N.,2.0
249,,,1.28,3.25,3,1.25,3.7,Completed,Indoor,2007-01-30,1.35,3.05,0.0,2.0,,,,903.0,24.0,Tokyo,Bartoli M.,0.0,,,1.322,3.81,1st Round,,,Carpet,Tier 1,Toray Pan Pacific Open,1.3,3.4,6.0,6.0,,540.0,39.0,6,Bremond S.,2.0
250,,,1.19,4.0,3,1.28,3.5,Completed,Indoor,2007-01-30,1.25,3.75,4.0,4.0,,,,988.0,18.0,Tokyo,Hantuchova D.,0.0,,,1.304,3.99,1st Round,,,Carpet,Tier 1,Toray Pan Pacific Open,,,6.0,6.0,,260.0,119.0,6,Vinci R.,2.0
251,,,6,1.1,3,6.3,1.1,Completed,Indoor,2007-01-30,5.65,1.12,3.0,2.0,,,,219.0,135.0,Tokyo,Osterloh L.,0.0,,,6.4,1.167,1st Round,,,Carpet,Tier 1,Toray Pan Pacific Open,,,6.0,6.0,,1106.0,17.0,6,Li N.,2.0
252,,,5,1.14,3,5.0,1.15,Completed,Indoor,2007-01-30,5.0,1.15,5.0,5.0,,,,216.25,136.0,Tokyo,Takao E.,0.0,,,5.6,1.196,1st Round,,,Carpet,Tier 1,Toray Pan Pacific Open,5.1,1.15,7.0,7.0,,860.0,25.0,6,Schiavone F.,2.0
253,,,2.75,1.39,3,2.8,1.4,Completed,Indoor,2007-01-31,2.8,1.4,2.0,1.0,,,,226.25,128.0,Tokyo,Mattek B.,0.0,,,2.91,1.474,1st Round,,,Carpet,Tier 1,Toray Pan Pacific Open,2.86,1.4,6.0,6.0,,589.75,33.0,6,Zheng J.,2.0
254,,,1.61,2.2,3,1.6,2.25,Completed,Indoor,2007-01-31,1.63,2.2,5.0,0.0,,,,416.0,56.0,Tokyo,Nakamura A.,0.0,,,1.645,2.45,1st Round,,,Carpet,Tier 1,Toray Pan Pacific Open,1.64,2.2,7.0,6.0,,523.5,41.0,6,Santangelo M.,2.0
255,,,1.9,1.8,3,2.1,1.69,Completed,Indoor,2007-01-31,1.95,1.8,3.0,2.0,,,,437.75,51.0,Tokyo,Dulko G.,0.0,,,2.2,1.769,1st Round,,,Carpet,Tier 1,Toray Pan Pacific Open,1.96,1.8,6.0,6.0,,415.0,58.0,6,Likhovtseva E.,2.0
256,,,1.33,3.0,3,1.38,2.9,Completed,Indoor,2007-01-31,1.4,2.8,4.0,7.0,4.0,,,932.0,21.0,Tokyo,Zvonareva V.,1.0,,,1.435,3.1,1st Round,,,Carpet,Tier 1,Toray Pan Pacific Open,1.42,2.78,6.0,6.0,6.0,678.0,27.0,6,Stosur S.,2.0
257,,,1.25,3.5,3,1.24,3.8,Completed,Indoor,2007-01-31,1.3,3.3,2.0,3.0,,,,1209.0,15.0,Tokyo,Peer S.,0.0,,,1.322,3.81,1st Round,,,Carpet,Tier 1,Toray Pan Pacific Open,1.28,3.45,6.0,6.0,,637.0,30.0,6,Kirilenko M.,2.0
258,,,2.1,1.66,3,2.05,1.72,Completed,Indoor,2007-01-31,2.05,1.72,4.0,2.0,,,,433.75,54.0,Tokyo,Vesnina E.,0.0,,,2.25,1.741,1st Round,,,Carpet,Tier 1,Toray Pan Pacific Open,1.96,1.8,6.0,6.0,,788.0,26.0,6,Sugiyama A.,2.0
259,,,9,1.04,3,16.0,1.01,Completed,Indoor,2007-01-31,10.0,1.03,1.0,5.0,,,,397.75,65.0,Tokyo,Pratt N.,0.0,,,17.5,1.047,2nd Round,,,Carpet,Tier 1,Toray Pan Pacific Open,9.0,1.06,6.0,7.0,,2139.0,6.0,6,Hingis M.,2.0
260,,,4,1.19,3,4.25,1.2,Completed,Indoor,2007-02-01,4.2,1.2,4.0,0.0,,,,589.75,33.0,Tokyo,Zheng J.,0.0,,,4.61,1.249,2nd Round,,,Carpet,Tier 1,Toray Pan Pacific Open,4.0,1.23,6.0,6.0,,1558.0,10.0,6,Jankovic J.,2.0
261,,,1.83,1.83,3,1.95,1.8,Completed,Indoor,2007-02-01,1.87,1.87,3.0,0.0,,,,540.0,39.0,Tokyo,Bremond S.,0.0,,,2.09,1.84,2nd Round,,,Carpet,Tier 1,Toray Pan Pacific Open,2.0,1.77,6.0,6.0,,260.0,119.0,6,Vinci R.,2.0
262,,,3.5,1.25,3,3.7,1.25,Completed,Indoor,2007-02-01,3.75,1.25,3.0,5.0,,,,415.0,58.0,Tokyo,Likhovtseva E.,0.0,,,4.22,1.284,2nd Round,,,Carpet,Tier 1,Toray Pan Pacific Open,3.8,1.25,6.0,7.0,,2013.0,8.0,6,Dementieva E.,2.0
263,,,4.5,1.16,3,3.8,1.24,Completed,Indoor,2007-02-01,4.5,1.18,6.0,1.0,2.0,,,523.5,41.0,Tokyo,Santangelo M.,1.0,,,4.89,1.233,2nd Round,,,Carpet,Tier 1,Toray Pan Pacific Open,4.3,1.2,4.0,6.0,6.0,1160.0,16.0,6,Ivanovic A.,2.0
264,,,1.83,1.83,3,1.66,2.15,Completed,Indoor,2007-02-01,1.87,1.87,6.0,1.0,3.0,,,637.0,30.0,Tokyo,Kirilenko M.,1.0,,,1.84,2.09,2nd Round,,,Carpet,Tier 1,Toray Pan Pacific Open,1.8,1.96,3.0,6.0,6.0,788.0,26.0,6,Sugiyama A.,2.0
265,,,1.39,2.75,3,1.43,2.7,Completed,Indoor,2007-02-01,1.4,2.8,2.0,4.0,,,,1106.0,17.0,Tokyo,Li N.,0.0,,,1.565,2.67,2nd Round,,,Carpet,Tier 1,Toray Pan Pacific Open,1.44,2.7,6.0,6.0,,678.0,27.0,6,Stosur S.,2.0
266,,,7,1.08,3,6.3,1.1,Completed,Indoor,2007-02-01,6.95,1.08,5.0,6.0,1.0,,,860.0,25.0,Tokyo,Schiavone F.,1.0,,,9.0,1.1,2nd Round,,,Carpet,Tier 1,Toray Pan Pacific Open,6.8,1.09,7.0,2.0,6.0,3918.0,1.0,6,Sharapova M.,2.0
267,,,6.5,1.1,3,7.0,1.08,Completed,Indoor,2007-02-02,6.25,1.1,6.0,0.0,1.0,,,788.0,26.0,Tokyo,Sugiyama A.,1.0,,,7.35,1.142,Quarterfinals,,,Carpet,Tier 1,Toray Pan Pacific Open,6.5,1.1,4.0,6.0,6.0,3918.0,1.0,6,Sharapova M.,2.0
268,,,1.44,2.62,3,1.38,2.9,Completed,Indoor,2007-02-02,1.45,2.65,6.0,4.0,2.0,,,1558.0,10.0,Tokyo,Jankovic J.,1.0,,,1.485,2.86,Quarterfinals,,,Carpet,Tier 1,Toray Pan Pacific Open,1.45,2.65,3.0,6.0,6.0,1160.0,16.0,6,Ivanovic A.,2.0
269,,,4.33,1.19,3,3.7,1.26,Completed,Indoor,2007-02-02,4.25,1.2,0.0,1.0,,,,678.0,27.0,Tokyo,Stosur S.,0.0,,,4.85,1.235,Quarterfinals,,,Carpet,Tier 1,Toray Pan Pacific Open,3.8,1.25,6.0,6.0,,2139.0,6.0,6,Hingis M.,2.0
270,,,4,1.22,3,3.7,1.25,Completed,Indoor,2007-02-02,4.0,1.22,1.0,2.0,,,,260.0,119.0,Tokyo,Vinci R.,0.0,,,5.01,1.227,Quarterfinals,,,Carpet,Tier 1,Toray Pan Pacific Open,3.8,1.25,6.0,6.0,,2013.0,8.0,6,Dementieva E.,2.0
271,,,1.28,3.5,3,1.3,3.35,Retired,Indoor,2007-02-03,1.25,3.75,1.0,1.0,,,,3918.0,1.0,Tokyo,Sharapova M.,0.0,,,1.333,3.7,Semifinals,,,Carpet,Tier 1,Toray Pan Pacific Open,1.27,3.65,6.0,0.0,,1160.0,16.0,6,Ivanovic A.,1.0
272,,,2.37,1.53,3,2.3,1.58,Completed,Indoor,2007-02-03,1.65,2.15,4.0,3.0,,,,2013.0,8.0,Tokyo,Dementieva E.,0.0,,,2.59,1.592,Semifinals,,,Carpet,Tier 1,Toray Pan Pacific Open,2.22,1.63,6.0,6.0,,2139.0,6.0,6,Hingis M.,2.0
273,,,2.37,1.53,3,2.2,1.63,Completed,Indoor,2007-02-04,2.4,1.53,4.0,2.0,,,,1160.0,16.0,Tokyo,Ivanovic A.,0.0,,,2.6,1.588,The Final,,,Carpet,Tier 1,Toray Pan Pacific Open,2.42,1.54,6.0,6.0,,2139.0,6.0,6,Hingis M.,2.0
274,,,4.5,1.16,3,4.4,1.2,Completed,Indoor,2007-02-05,4.5,1.18,4.0,5.0,,,,388.0,70.0,Paris,Krajicek M.,0.0,,,4.84,1.236,1st Round,,,Carpet,Tier 2,Open Gaz de France,4.0,1.23,6.0,7.0,,1527.0,12.0,7,Safina D.,2.0
275,,,2,1.72,3,1.95,1.8,Completed,Indoor,2007-02-05,2.12,1.67,6.0,7.0,4.0,,,556.75,39.0,Paris,Daniilidou E.,1.0,,,2.14,1.806,1st Round,,,Carpet,Tier 2,Open Gaz de France,1.92,1.84,7.0,6.0,6.0,463.5,46.0,7,Loit E.,2.0
276,,,1.39,2.75,3,1.36,3.0,Completed,Indoor,2007-02-06,1.35,3.05,1.0,0.0,,,,457.75,47.0,Paris,Radwanska A.,0.0,,,1.398,3.31,1st Round,,,Carpet,Tier 2,Open Gaz de France,,,6.0,6.0,,567.0,37.0,7,Muller M.,2.0
277,,,4,1.22,3,3.5,1.28,Completed,Indoor,2007-02-06,4.0,1.22,1.0,4.0,,,,204.0,147.0,Paris,Cohen Aloro S.,0.0,,,4.12,1.292,1st Round,,,Carpet,Tier 2,Open Gaz de France,,,6.0,6.0,,905.0,23.0,7,Srebotnik K.,2.0
278,,,1.83,1.83,3,1.95,1.8,Completed,Indoor,2007-02-06,2.0,1.75,2.0,3.0,,,,670.75,28.0,Paris,Garbin T.,0.0,,,2.23,1.752,1st Round,,,Carpet,Tier 2,Open Gaz de France,1.9,1.85,6.0,6.0,,435.0,53.0,7,Dechy N.,2.0
279,,,,,3,2.15,1.66,Completed,Indoor,2007-02-06,2.05,1.72,3.0,7.0,3.0,,,346.75,78.0,Paris,Pironkova T.,1.0,,,2.21,1.763,1st Round,,,Carpet,Tier 2,Open Gaz de France,2.12,1.68,6.0,6.0,6.0,618.0,32.0,7,Safarova L.,2.0
280,,,2.5,1.5,3,2.45,1.51,Completed,Indoor,2007-02-06,2.5,1.5,4.0,0.0,,,,158.75,182.0,Paris,Szavay A.,0.0,,,2.61,1.585,1st Round,,,Carpet,Tier 2,Open Gaz de France,2.4,1.54,6.0,6.0,,353.0,75.0,7,Pin C.,2.0
281,,,7,1.08,3,6.3,1.1,Completed,Indoor,2007-02-06,6.25,1.1,2.0,1.0,,,,481.0,43.0,Paris,Rezai A.,0.0,,,6.55,1.163,1st Round,,,Carpet,Tier 2,Open Gaz de France,5.8,1.12,6.0,6.0,,1708.0,9.0,7,Vaidisova N.,2.0
282,,,1.12,5.5,3,1.15,5.0,Completed,Indoor,2007-02-06,1.15,5.0,6.0,4.0,3.0,,,1544.0,11.0,Paris,Schnyder P.,1.0,,,1.186,5.89,1st Round,,,Carpet,Tier 2,Open Gaz de France,1.18,4.6,3.0,6.0,6.0,286.0,100.0,7,Bychkova E.,2.0
283,,,5,1.14,3,4.25,1.2,Completed,Indoor,2007-02-07,4.5,1.18,2.0,0.0,,,,584.5,35.0,Paris,Poutchkova O.,0.0,,,5.5,1.2,1st Round,,,Carpet,Tier 2,Open Gaz de France,4.3,1.2,6.0,6.0,,1470.0,13.0,7,Chakvetadze A.,2.0
284,,,1.72,2.0,3,1.95,1.8,Completed,Indoor,2007-02-07,1.85,1.9,2.0,5.0,,,,593.0,34.0,Paris,Bremond S.,0.0,,,1.917,1.99,1st Round,,,Carpet,Tier 2,Open Gaz de France,1.88,1.88,6.0,7.0,,604.0,33.0,7,Medina Garrigues A.,2.0
285,,,9,1.04,3,7.0,1.08,Completed,Indoor,2007-02-07,9.5,1.04,2.0,2.0,,,,171.0,164.0,Paris,Cornet A.,0.0,,,11.5,1.077,1st Round,,,Carpet,Tier 2,Open Gaz de France,8.6,1.06,6.0,6.0,,950.0,19.0,7,Golovin T.,2.0
286,,,5,1.14,3,5.4,1.13,Completed,Indoor,2007-02-07,5.2,1.14,6.0,2.0,6.0,,,353.0,75.0,Paris,Pin C.,1.0,,,5.65,1.194,2nd Round,,,Carpet,Tier 2,Open Gaz de France,5.1,1.15,2.0,6.0,7.0,1527.0,12.0,7,Safina D.,2.0
287,,,8.5,1.05,3,7.5,1.07,Completed,Indoor,2007-02-07,8.5,1.05,6.0,2.0,2.0,,,463.5,46.0,Paris,Loit E.,1.0,,,10.0,1.091,2nd Round,,,Carpet,Tier 2,Open Gaz de France,7.8,1.07,3.0,6.0,6.0,3311.0,2.0,7,Henin J.,2.0
288,,,2.75,1.39,3,2.8,1.4,Completed,Indoor,2007-02-07,2.65,1.45,7.0,4.0,6.0,,,905.0,23.0,Paris,Srebotnik K.,1.0,,,2.9,1.476,2nd Round,,,Carpet,Tier 2,Open Gaz de France,2.92,1.38,6.0,6.0,7.0,2554.0,5.0,7,Kuznetsova S.,2.0
289,,,5.5,1.12,3,4.65,1.17,Completed,Indoor,2007-02-08,5.65,1.12,6.0,4.0,4.0,,,604.0,33.0,Paris,Medina Garrigues A.,1.0,,,6.55,1.163,2nd Round,,,Carpet,Tier 2,Open Gaz de France,4.95,1.16,4.0,6.0,6.0,1470.0,13.0,7,Chakvetadze A.,2.0
290,,,9,1.04,3,7.0,1.08,Completed,Indoor,2007-02-08,7.35,1.07,1.0,2.0,,,,567.0,37.0,Paris,Muller M.,0.0,,,9.0,1.1,2nd Round,,,Carpet,Tier 2,Open Gaz de France,7.6,1.08,6.0,6.0,,2057.0,7.0,7,Petrova N.,2.0
291,,,5,1.14,3,5.0,1.15,Completed,Indoor,2007-02-08,5.0,1.15,4.0,4.0,,,,286.0,100.0,Paris,Bychkova E.,0.0,,,5.3,1.213,2nd Round,,,Carpet,Tier 2,Open Gaz de France,4.6,1.18,6.0,6.0,,950.0,19.0,7,Golovin T.,2.0
292,,,6.5,1.1,3,6.0,1.11,Completed,Indoor,2007-02-08,5.65,1.12,3.0,2.0,,,,435.0,53.0,Paris,Dechy N.,0.0,,,6.9,1.154,2nd Round,,,Carpet,Tier 2,Open Gaz de France,5.1,1.15,6.0,6.0,,2900.0,3.0,7,Mauresmo A.,2.0
293,,,1.14,5.0,3,1.16,4.85,Completed,Indoor,2007-02-08,1.16,4.8,4.0,2.0,,,,1708.0,9.0,Paris,Vaidisova N.,0.0,,,1.223,5.09,2nd Round,,,Carpet,Tier 2,Open Gaz de France,1.2,4.35,6.0,6.0,,618.0,32.0,7,Safarova L.,2.0
294,,,3.5,1.28,3,3.15,1.33,Completed,Indoor,2007-02-09,3.46,1.28,3.0,2.0,,,,1527.0,12.0,Paris,Safina D.,0.0,,,3.93,1.31,Quarterfinals,,,Carpet,Tier 2,Open Gaz de France,3.33,1.31,6.0,6.0,,2057.0,7.0,7,Petrova N.,2.0
295,,,1.53,2.37,3,1.55,2.35,Completed,Indoor,2007-02-09,1.53,2.4,3.0,4.0,,,,2554.0,5.0,Paris,Kuznetsova S.,0.0,,,1.641,2.46,Quarterfinals,,,Carpet,Tier 2,Open Gaz de France,1.6,2.28,6.0,6.0,,618.0,32.0,7,Safarova L.,2.0
296,,,3.75,1.25,3,3.35,1.3,Completed,Indoor,2007-02-09,3.75,1.25,2.0,6.0,3.0,,,950.0,19.0,Paris,Golovin T.,1.0,,,4.05,1.299,Quarterfinals,,,Carpet,Tier 2,Open Gaz de France,4.0,1.23,6.0,3.0,6.0,3311.0,2.0,7,Henin J.,2.0
297,,,2.75,1.39,3,3.15,1.33,Completed,Indoor,2007-02-09,3.05,1.35,6.0,5.0,,,,1470.0,13.0,Paris,Chakvetadze A.,0.0,,,3.26,1.407,Quarterfinals,,,Carpet,Tier 2,Open Gaz de France,3.2,1.33,7.0,7.0,,2900.0,3.0,7,Mauresmo A.,2.0
298,,,1.19,4.0,3,1.2,4.25,Completed,Indoor,2007-02-10,,,6.0,4.0,,,,3311.0,2.0,Paris,Henin J.,0.0,,,1.27,4.41,Semifinals,,,Carpet,Tier 2,Open Gaz de France,1.22,4.1,7.0,6.0,,618.0,32.0,7,Safarova L.,2.0
299,,,1.61,2.2,3,1.69,2.1,Completed,Indoor,2007-02-10,1.67,2.12,7.0,4.0,6.0,,,2900.0,3.0,Paris,Mauresmo A.,1.0,,,1.73,2.27,Semifinals,,,Carpet,Tier 2,Open Gaz de France,1.58,2.32,5.0,6.0,7.0,2057.0,7.0,7,Petrova N.,2.0
300,,,2.1,1.66,3,2.3,1.58,Completed,Indoor,2007-02-11,2.25,1.6,6.0,1.0,4.0,,,618.0,32.0,Paris,Safarova L.,1.0,,,2.44,1.649,The Final,,,Carpet,Tier 2,Open Gaz de France,2.12,1.7,4.0,6.0,6.0,2057.0,7.0,7,Petrova N.,2.0
301,,,,,3,3.5,1.28,Completed,Outdoor,2007-02-05,,,4.0,7.0,2.0,,,321.5,88.0,Pattaya,Gajdosova J.,1.0,,,,,1st Round,,,Hard,Tier 4,Pattaya Women's Open,,,6.0,5.0,6.0,565.0,38.0,8,Santangelo M.,2.0
302,,,3.75,1.25,3,3.35,1.3,Completed,Outdoor,2007-02-05,,,2.0,2.0,,,,266.75,113.0,Pattaya,Bondarenko K.,0.0,,,3.93,1.31,1st Round,,,Hard,Tier 4,Pattaya Women's Open,3.75,1.25,6.0,6.0,,288.75,99.0,8,Molik A.,2.0
303,,,2.87,1.36,3,2.6,1.46,Completed,Outdoor,2007-02-05,2.8,1.4,6.0,0.0,,,,400.0,64.0,Pattaya,Castano C.,0.0,,,3.15,1.426,1st Round,,,Hard,Tier 4,Pattaya Women's Open,2.76,1.42,7.0,6.0,,453.0,49.0,8,Mirza S.,2.0
304,,,,,3,4.5,1.18,Completed,Outdoor,2007-02-05,4.2,1.2,1.0,2.0,,,,210.5,142.0,Pattaya,Hsieh S.W.,0.0,,,,,1st Round,,,Hard,Tier 4,Pattaya Women's Open,,,6.0,6.0,,491.0,42.0,8,Peng S.,2.0
305,,,4.5,1.16,3,4.5,1.18,Completed,Outdoor,2007-02-05,,,5.0,6.0,,,,63.5,332.0,Pattaya,Tangphong M.,0.0,,,5.0,1.227,1st Round,,,Hard,Tier 4,Pattaya Women's Open,,,7.0,7.0,,321.0,89.0,8,Rodionova A.,2.0
306,,,4.5,1.16,3,,,Completed,Outdoor,2007-02-06,,,6.0,3.0,1.0,,,8.25,891.0,Pattaya,Lertcheewakarn N.,1.0,,,,,1st Round,,,Hard,Tier 4,Pattaya Women's Open,,,3.0,6.0,6.0,416.0,56.0,8,Nakamura A.,2.0
307,,,2,1.72,3,2.05,1.72,Completed,Outdoor,2007-02-06,2.0,1.75,2.0,2.0,,,,351.25,76.0,Pattaya,Fedak Y.,0.0,,,2.12,1.82,1st Round,,,Hard,Tier 4,Pattaya Women's Open,,,6.0,6.0,,214.0,139.0,8,Obziler T.,2.0
308,,,1.8,1.9,3,1.69,2.1,Completed,Outdoor,2007-02-06,,,6.0,1.0,3.0,,,193.0,151.0,Pattaya,Yuan M.,1.0,,,1.84,2.09,1st Round,,,Hard,Tier 4,Pattaya Women's Open,,,1.0,6.0,6.0,301.25,95.0,8,Kudryavtseva A.,2.0
309,,,2.25,1.57,3,2.2,1.63,Completed,Outdoor,2007-02-06,2.2,1.63,4.0,1.0,,,,341.0,80.0,Pattaya,Sun T.T.,0.0,,,2.13,1.813,1st Round,,,Hard,Tier 4,Pattaya Women's Open,2.18,1.65,6.0,6.0,,437.75,52.0,8,Dulko G.,2.0
310,,,1.25,3.5,3,1.28,3.5,Completed,Outdoor,2007-02-06,1.33,3.15,6.0,6.0,5.0,,,622.0,31.0,Pattaya,Kirilenko M.,1.0,,,1.4,3.3,1st Round,,,Hard,Tier 4,Pattaya Women's Open,1.3,3.4,7.0,2.0,7.0,467.25,45.0,8,Pratt N.,2.0
311,,,2.37,1.53,3,2.35,1.55,Completed,Outdoor,2007-02-06,2.35,1.55,6.0,4.0,5.0,,,191.25,153.0,Pattaya,Savchuk O.,1.0,,,1.422,3.17,1st Round,,,Hard,Tier 4,Pattaya Women's Open,2.38,1.55,3.0,6.0,7.0,416.0,57.0,8,Oprandi R.,2.0
312,,,4,1.2,3,3.35,1.3,Completed,Outdoor,2007-02-06,,,3.0,4.0,,,,57.0,345.0,Pattaya,Llagostera Vives N.,0.0,,,4.1,1.294,1st Round,,,Hard,Tier 4,Pattaya Women's Open,3.4,1.3,6.0,6.0,,886.0,25.0,8,Bartoli M.,2.0
313,,,1.66,2.1,3,1.75,2.0,Completed,Outdoor,2007-02-06,1.65,2.15,1.0,4.0,,,,430.5,55.0,Pattaya,Bardina V.,0.0,,,1.725,2.28,1st Round,,,Hard,Tier 4,Pattaya Women's Open,1.65,2.18,6.0,6.0,,404.25,61.0,8,Bammer S.,2.0
314,,,1.9,1.8,3,1.95,1.8,Completed,Outdoor,2007-02-06,1.87,1.87,5.0,3.0,,,,154.5,183.0,Pattaya,Klepac A.,0.0,,,1.99,1.917,1st Round,,,Hard,Tier 4,Pattaya Women's Open,,,7.0,6.0,,289.5,98.0,8,Sucha M.,2.0
315,,,1.72,2.0,3,1.66,2.15,Completed,Outdoor,2007-02-06,1.75,2.0,2.0,7.0,4.0,,,337.5,84.0,Pattaya,Chan Y.J.,1.0,,,1.84,2.09,1st Round,,,Hard,Tier 4,Pattaya Women's Open,1.7,2.1,6.0,5.0,6.0,335.75,86.0,8,Tanasugarn T.,2.0
316,,,1.8,1.9,3,1.8,1.95,Completed,Outdoor,2007-02-06,,,1.0,3.0,,,,406.25,59.0,Pattaya,Kostanic J.,0.0,,,1.885,2.03,1st Round,,,Hard,Tier 4,Pattaya Women's Open,1.8,1.96,6.0,6.0,,392.0,65.0,8,King V.,2.0
